Noah Rubin
This is tutorial 1. Here we will read in some files with data etc.
Pandas video
My file: File content below...
/Date/Open/Close
0/2020-08-19/51000.0/50100.0
1/2020-08-20/50000.0/48250.0
2/2020-08-21/48500.0/48650.0
3/2020-08-24/48700.0/48600.0
4/2020-08-25/49000.0/48750.0
5/2020-08-26/49000.0/49000.0
6/2020-08-27/49200.0/48400.0
7/2020-08-28/48450.0/48200.0
8/2020-08-31/48250.0/47500.0
9/2020-09-01/47350.0/47100.0
10/2020-09-02/47100.0/47100.0
11/2020-09-03/47800.0/47900.0
12/2020-09-04/47100.0/47500.0
13/2020-09-07/47700.0/48500.0
14/2020-09-08/49100.0/50000.0
15/2020-09-09/49450.0/49500.0
16/2020-09-10/50400.0/50700.0
17/2020-09-11/50700.0/50900.0
18/2020-09-14/51600.0/51900.0
19/2020-09-15/52500.0/52000.0
20/2020-09-16/52000.0/51700.0
21/2020-09-17/51700.0/51000.0
22/2020-09-18/50800.0/50900.0
23/2020-09-21/50900.0/51300.0
24/2020-09-22/50900.0/51000.0
25/2020-09-23/51100.0/50900.0
26/2020-09-24/50100.0/50300.0
27/2020-09-25/50300.0/50700.0
28/2020-09-28/50700.0/50500.0
29/2020-09-29/50600.0/50500.0
30/2020-10-05/50000.0/50700.0
31/2020-10-06/51300.0/50900.0
32/2020-10-07/50600.0/51400.0
33/2020-10-08/52000.0/51700.0
34/2020-10-12/52300.0/52300.0
35/2020-10-13/53000.0/53400.0
36/2020-10-14/53700.0/53600.0
37/2020-10-15/53100.0/53200.0
38/2020-10-16/53400.0/53000.0
39/2020-10-19/52800.0/53000.0
40/2020-10-20/52900.0/53300.0
41/2020-10-21/53500.0/53200.0
42/2020-10-22/52900.0/53500.0
43/2020-10-23/53200.0/53300.0
44/2020-10-26/54000.0/53500.0
45/2020-10-27/53300.0/53400.0
46/2020-10-28/52800.0/52900.0
47/2020-10-29/52300.0/51700.0
48/2020-10-30/51600.0/50100.0
49/2020-11-02/49800.0/51200.0
50/2020-11-03/51500.0/52200.0
51/2020-11-04/52200.0/52200.0
52/2020-11-05/52400.0/53500.0
53/2020-11-06/53900.0/53800.0
54/2020-11-09/54100.0/55000.0
55/2020-11-10/55200.0/55500.0
56/2020-11-11/54700.0/56900.0
57/2020-11-12/56900.0/57300.0
58/2020-11-13/57000.0/57400.0
59/2020-11-16/58000.0/58800.0
60/2020-11-17/59400.0/59000.0
61/2020-11-18/58600.0/58500.0
62/2020-11-19/57800.0/58000.0
63/2020-11-20/58200.0/58300.0
64/2020-11-23/58400.0/61000.0
65/2020-11-24/61600.0/61800.0
66/2020-11-25/62100.0/60800.0
67/2020-11-26/61100.0/61900.0
68/2020-11-27/61800.0/61800.0
69/2020-11-30/62400.0/61100.0
70/2020-12-01/61200.0/62500.0
71/2020-12-02/62800.0/63800.0
72/2020-12-03/64500.0/64400.0
73/2020-12-04/64000.0/65500.0
74/2020-12-07/65500.0/66700.0
75/2020-12-08/66300.0/65800.0
76/2020-12-09/65900.0/66900.0
77/2020-12-10/66100.0/67800.0
78/2020-12-11/68000.0/69300.0
79/2020-12-14/69700.0/69900.0
80/2020-12-15/69800.0/69500.0
81/2020-12-16/70000.0/69500.0
82/2020-12-17/68700.0/68900.0
83/2020-12-18/68900.0/68600.0
84/2020-12-21/68700.0/68800.0
85/2020-12-22/68300.0/68500.0
86/2020-12-23/68500.0/69900.0
87/2020-12-24/70400.0/72800.0
88/2020-12-28/74000.0/72900.0
89/2020-12-29/72500.0/72200.0
90/2020-12-30/72000.0/73600.0
91/2021-01-04/73700.0/74400.0
92/2021-01-05/73600.0/75000.0
93/2021-01-06/75000.0/74300.0
94/2021-01-07/74400.0/74300.0
95/2021-01-08/74700.0/77800.0
96/2021-01-11/79000.0/81000.0
97/2021-01-12/79200.0/80000.0
98/2021-01-13/79000.0/78600.0
99/2021-01-14/78800.0/78800.0
100/2021-01-15/79300.0/77600.0
101/2021-01-18/76100.0/74600.0
102/2021-01-19/73800.0/76400.0
103/2021-01-20/78900.0/76800.0
104/2021-01-21/77500.0/77600.0
105/2021-01-22/79000.0/77600.0
