Channel,Peak viewers,Followers gained,Views gained,Language,T
앰비션_ (lol_ambition),57254,108498,17248420,Korean,522
jukes,24263,353576,19915875,Portuguese,22
木棉花官方頻道 (muse_tw),16702,120954,13670649,Chinese,862
Shlorox,13945,77979,13181386,German,861
coscu,80444,1061265,19438119,Spanish,201
dogdog,24727,50345,12089717,English,193
chocoTaco,30514,250201,17922897,English,231
Locklear,50103,469017,17854413,French,891
餐餐自由配 (blusewilly_retry),17585,42764,18366224,Chinese,273
Amouranth,13495,532750,48015117,English,339
UberHaxorNova,7808,65267,7518457,English,781
Sfory,75219,450299,12391816,Russian,325
Giantwaffle,36340,15334,10831070,English,824
ZanoXVII,30648,322929,6034891,Italian,685
침착맨 (zilioner),43164,121506,18265409,Korean,133
SkipNhOLIVE,7940,271487,6544645,Portuguese,599
Kamet0,70983,221911,14071951,French,618
MYM_ALKAPONE,26221,153803,7831334,Spanish,816
김진우 (jinu6734),12810,90213,9977487,Korean,337
imaqtpie,26087,50312,13182700,English,929
x2Twins,31874,1035561,15264996,English,119
C_a_k_e,17317,45957,18161823,Russian,733
SmiteGame,33245,73678,8305604,English,979
RatedEpicz,11860,74221,7251200,English,995
wtcN,73861,566210,25333548,Turkish,57
Anton,137531,128050,6176254,English,901
benjyfishy,75491,1455278,20411553,English,527
StarLadder5,189859,104382,21525216,Russian,982
Reborn_Live,57849,682512,9965787,Spanish,210
CasinoDaddy,6524,42680,7493491,English,139
H2P_Gucio,10011,78264,13401489,Polish,171
Xayoo_,23935,215098,12984472,Polish,130
Jinnytty,15190,213291,15165872,English,178
KendineMuzisyen,43422,486410,17629667,Turkish,242
Jahrein,43683,247212,18410268,Turkish,864
Mathil1,25866,66982,13159849,English,6
Greekgodx,45741,403108,12441822,English,564
Brunenger,64308,649562,12736000,Spanish,53
ClassyBeef,33624,88671,6626543,English,698
Diegosaurs,32463,270255,9851921,English,887
BobRoss,11659,216326,7491995,English,577
Nick28T,15155,78054,6777975,English,910
녹두로 (nokduro),15858,95603,9518923,Korean,142
GMHikaru,46106,425023,20086431,English,3
SkipNhO,23408,281967,13901197,Portuguese,460
jovirone,29272,300545,17980307,Portuguese,173
Chap,22571,273926,13683195,English,663
김도 (kimdoe),11759,10062,14188002,Korean,468
RebirthzTV,14578,76546,8434367,Thai,279
Klean,101124,154466,7844435,English,215
接接 (godjj),12461,19325,20264128,Chinese,882
Gladd,54477,157424,9290817,English,192
CSRuHub,106003,121099,23271913,Russian,255
CriticalRole,110800,237069,7827030,English,2
Vinesauce,19065,80616,5560969,English,59
울프 (lol_woolf),73800,141297,9294132,Korean,444
Mithrain,40183,371005,24222810,Turkish,782
EWROON,21341,232079,13289271,Polish,49
ludwig,60346,505089,8508355,English,698
RduLIVE,11854,62490,7653194,English,695
Hiko,41644,479830,11106951,English,893
FENGRUSH,16128,23288,44675247,English,768
Chess,83666,181232,84500786,English,106
72hrs,30702,315190,12051692,English,293
TwitchRivals,109148,644684,71159574,English,492
狂暴小建 (a541021),8337,18023,18201933,Chinese,583
hashinshin,12540,159892,11386166,English,354
JoshOG,85051,120782,20688501,English,354
B0aty,22375,49577,8448691,English,803
AustinShow,72199,378656,11648873,English,657
39daph,12648,470589,8983449,English,608
scump,79976,275270,8661072,English,119
플러리 (flurry1989),12084,51935,10969148,Korean,491
Kyle,9339,60506,5692219,English,753
SummonersInnLive,110095,46779,13724263,German,289
Aydan,51268,425036,11009240,English,709
Faker,56325,750480,26508938,Korean,166
Mongraal,89706,1454481,19515587,English,154
탬탬버린 (2chamcham2),16243,144698,13076008,Korean,629
EmadGG,67732,623391,9556065,English,158
쌍베 (pacific8815),20936,54326,14452008,Korean,469
FolagorLives,57813,417899,9640983,Spanish,240
lilypichu,33075,657630,14729189,English,332
mistermv,39961,150486,12959273,French,632
Bonjwa,11063,20250,14247514,German,21
KingGeorge,12621,250434,6445996,English,347
KingRichard,17327,109795,9570639,English,926
melharucos,13825,59167,17845821,Russian,815
INSCOPE21TV,51244,491663,10630158,German,180
JohnPitterTV,4148,211365,19054606,Portuguese,231
Zizaran,20745,47149,16917944,English,797
imls,32758,177673,8610645,English,998
TSM_ImperialHal,23107,287810,8907366,English,403
악어 (jdm2088),65622,132821,5377506,Korean,262
Ramee,10845,74094,6606894,English,288
Towelliee,15495,21398,17009119,English,344
SPYGEA,17228,92067,10569192,Japanese,800
FollowGrubby,15296,46282,12249560,English,604
Amar,45549,281928,11787544,German,838
mch_AGG,11191,124548,11142208,Portuguese,949
IWillDominate,23813,79514,8695968,English,706
Nadeshot,40327,428800,7844647,English,745
buddha,11971,24901,6326808,English,296
Deadlyslob,104568,130944,6321235,English,315
懶貓 (failverde),14610,29861,13001718,Chinese,845
嬌兔 (zrush),10628,49296,13297850,Chinese,765
HoneyMad,21369,74407,14755893,Russian,174
ESAMarathon,22132,35038,32500708,English,74
Nmplol,24687,130564,8859183,English,89
relaxing234,19194,88247,12225523,Chinese,718
Doigby,93577,611786,11805401,French,559
Sequisha,19755,86220,7404102,English,951
HusKerrs,39433,288952,6298662,English,122
얍얍 (yapyap30),36933,26768,9798569,Korean,1000
Elwind,18270,200170,14369324,Turkish,828
Shiphtur,19688,58604,7906425,English,375
BarbarousKing,13419,42931,4822422,English,755
alexelcapo,74670,211908,13364167,Spanish,544
moistcr1tikal,42135,724159,7780736,English,76
Rush,15405,120906,7575905,English,986
LosPollosTV,54323,138468,6201733,English,181
DreamLeague,147514,61032,7424007,English,207
Voyboy,21187,139443,8151140,English,525
BastiGHG,10455,236118,8093220,German,642
DatModz,14288,36757,9812812,English,392
dafran,19611,142689,7944645,English,203
yeTz,21212,281059,10731565,Portuguese,490
Aurateur,15547,26782,4368785,English,238
pokelawls,22496,182123,5999354,English,276
