First	Last_name	Player	AGE	EVENTS_PLAYED	AVG_CARRY_DISTANCE	STEEPEST_LAUNCH_ANGLE	FAIRWAYS_HIT	TOTAL_DRIVES
Jim	Furyk	Jim Furyk	48	15	249.8	14.59	427	584
Jimmy	Walker	Jimmy Walker	39	23	281.5	15.18	539	864
Joel	Dahmen	Joel Dahmen	32	28	278.1	15.45	789	994
John	Huh	John Huh	35	29	266.1	14.37	803	1,146
Jon	Rahm	Jon Rahm	23	18	298.3	16.45	466	634
Jonas	Blixt	Jonas Blixt	30	23	276.2	15.1	518	676
Jonathan	Byrd	Jonathan Byrd	38	24	276.2	14.92	508	672
Jonathan	Randolph	Jonathan Randolph	34	25	263.0	14.09	564	838
Jordan	Spieth	Jordan Spieth	25	22	279.6	15.48	601	898
Justin	Rose	Justin Rose	38	16	291.2	16.04	487	626
Justin	Thomas	Justin Thomas	25	21	286.2	13.45	572	844
Keegan	Bradley	Keegan Bradley	32	25	283.2	14.39	792	1,032
Keith	Mitchell	Keith Mitchell	34	28	295.7	13.72	757	1,162
Kevin	Chappell	Kevin Chappell	31	23	291.9	14.42	603	816
Kevin	Kisner	Kevin Kisner	34	24	269.1	14.9	668	886
Kevin	Na	Kevin Na	35	24	267.9	15.46	703	924
Kevin	Streelman	Kevin Streelman	38	27	279.9	14.43	888	1,146
Kevin	Tway	Kevin Tway	33	31	289.5	16.81	765	1,258
Kiradech	Aphibarnrat	Kiradech Aphibarnrat	34	24	275.0	14.68	375	420
Kyle	Stanley	Kyle Stanley	30	24	273.2	14.99	786	858
Kyle	Thompson	Kyle Thompson	31	22	255.6	13.7	405	504
Lanto	Griffin	Lanto Griffin	30	26	279.2	14.27	549	812
Louis	Oosthuizen	Louis Oosthuizen	35	16	282.3	14.42	403	584
Lucas	Glover	Lucas Glover	38	18	278.9	13.53	531	612
Luke	List	Luke List	29	28	301.1	16.61	674	1,060
Mackenzie	Hughes	Mackenzie Hughes	28	28	279.4	15.31	616	922
Marc	Leishman	Marc Leishman	34	23	283.3	13.52	652	914
Martin	Flores	Martin Flores	36	29	279.7	13.56	659	1,004
Martin	Laird	Martin Laird	35	22	283.3	15.42	574	852
Martin	Piller	Martin Piller	34	28	272.6	15.82	629	936
Matt	Atkins	Matt Atkins	32	21	286.7	14.1	418	560
Matt	Every	Matt Every	33	30	281.3	13.04	580	850
Matt	Jones	Matt Jones	36	23	284.7	13.44	496	630
Matt	Kuchar	Matt Kuchar	40	24	267.6	13.91	687	878
Michael	Kim	Michael Kim	25	27	271.5	16.38	539	754
Michael	Thompson	Michael Thompson	28	19	277.3	14.29	525	784
Nate	Lashley	Nate Lashley	35	17	276.4	14.53	398	490
Nicholas	Lindheim	Nicholas Lindheim	33	26	270.9	13.93	582	824
Nick	Taylor	Nick Taylor	30	30	273.8	14.02	766	1,034
Nick	Watney	Nick Watney	37	26	289.3	13.52	707	1,116
Ollie	Schniederjans	Ollie Schniederjans	25	27	279.3	15.07	620	1,046
Padraig	Harrington	Padraig Harrington	47	16	278.2	13.76	293	860
Pat	Perez	Pat Perez	39	22	277.6	14.2	613	662
Patrick	Reed	Patrick Reed	28	24	279.9	15.31	560	766
Patrick	Rodgers	Patrick Rodgers	26	30	290.3	13.33	756	962
Patton	Kizzire	Patton Kizzire	27	27	280.7	14.19	625	1,040
Paul	Casey	Paul Casey	35	18	281.7	13.03	527	570
Peter	Malnati	Peter Malnati	30	28	271.5	13.21	659	1,048
Peter	Uihlein	Peter Uihlein	34	25	291.0	14.38	510	854
