Institution,Course Number,Launch Date,Course Title,Instructors,Course Subject,participants,Total Course Hours (Thousands),% Female,% Bachelor's Degree or Higher
HarvardX,HUM1.6x,09/21/2015,"History of the Book: Monasteries, Schools, and Notaries, Part 1: Reading the Late Medieval Marseille Archive",Dan Smail,"Humanities, History, Design, Religion, and Education",1602,6.13,58.34,72.64
HarvardX,HUM1.7x,09/21/2015,"History of the Book: Monasteries, Schools, and Notaries, Part 2: Introduction to the Transitional Gothic Script",Beverly Kienzle,"Humanities, History, Design, Religion, and Education",670,3.49,55.24,77.52
HarvardX,HUM1.8x,09/21/2015,History of the Book: The Medieval Book of Hours: Art and Devotion in the Later Middle Ages,"Jeffrey Hamburger, Bill Stoneman","Humanities, History, Design, Religion, and Education",1472,6.93,62.09,76.11
HarvardX,HUM1.9x,09/21/2015,History of the Book: Books in the Medieval Liturgy,Tom Kelly,"Humanities, History, Design, Religion, and Education",1698,4.51,53.8,70.79
MITx,14.74x,09/21/2015,Foundations of Development Policy: Advanced Development Economics,"Abhijit Vinayak Banerjee, Esther Duflo, Benjamin Olken","Government, Health, and Social Science",7532,77.46,40.09,85.32
MITx,8.421.1x,09/21/2015,Atomic and Optical Physics: Resonance,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","Science, Technology, Engineering, and Mathematics",6129,18.64,13.36,68.83
MITx,4.605x,09/22/2015,A Global History of Architecture,Mark Jarzombek,"Humanities, History, Design, Religion, and Education",5724,77.42,52.76,74.29
MITx,16.101x,09/28/2015,Introduction to Aerodynamics,David L. Darmofal,"Science, Technology, Engineering, and Mathematics",18732,51.1,10.73,53.08
MITx,6.002.1x,09/29/2015,Circuits and Electronics: Basic Circuit Analysis,"Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",38119,174.06,12.64,52.02
MITx,6.002.2x,09/29/2015,"Circuits and Electronics: Amplification, Speed, and Delay","Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",6146,28.65,10.45,58.46
MITx,6.002.3x,09/29/2015,Circuits and Electronics: Applications,"Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",5566,17.95,11.19,59.47
MITx,CTL.SC2x,09/30/2015,Supply Chain Design,"Chris Caplice, Yossi Sheffi, James Blayney Rice Jr., Jarrod Goentzel","Government, Health, and Social Science",14679,316.74,21.79,85.02
HarvardX,GOV1368.1x,10/01/2015,"Saving Schools: History, Politics, and Policy of U.S. Education – History and Politics in U.S. Education",Paul Peterson,"Humanities, History, Design, Religion, and Education",3126,8.08,59.86,72.04
HarvardX,GOV1368.2x,10/01/2015,"Saving Schools: History, Politics, and Policy of U.S. Education – Teacher Policies",Paul Peterson,"Humanities, History, Design, Religion, and Education",702,1.85,51.02,80.42
HarvardX,GOV1368.3x,10/01/2015,"Saving Schools: History, Politics, and Policy of U.S. Education – Accountability and National Standards",Paul Peterson,"Humanities, History, Design, Religion, and Education",492,1.18,50.91,78.86
HarvardX,GOV1368.4x,10/01/2015,"Saving Schools: History, Politics, and Policy of U.S. Education – School Choice",Paul Peterson,"Humanities, History, Design, Religion, and Education",511,1.08,51.52,74.39
HarvardX,ER22x,10/01/2015,Justice,Michael Sandel,"Humanities, History, Design, Religion, and Education",30699,109.74,42.44,66.5
MITx,6.832x,10/01/2015,Underactuated Robotics,"Russ Tedrake, Robin Deits, Twan Koolen","Science, Technology, Engineering, and Mathematics",10191,45.06,8.96,61.19
MITx,20.305x,10/05/2015,Principles of Synthetic Biology,"Adam Arkin, Ron Weiss","Science, Technology, Engineering, and Mathematics",11574,83.14,27.19,66.14
MITx,JPAL101x,10/05/2015,Evaluating Social Programs,"Rachel Glennerster, Marc Shotland","Government, Health, and Social Science",4187,21.5,49.23,89.92
HarvardX,SPU30x,10/13/2015,Super-Earths and Life,Dimitar Sasselov,"Science, Technology, Engineering, and Mathematics",29176,109.0,39.91,44.95
MITx,3.032.2x,10/14/2015,"Mechanical Behavior of Materials: Stress Transformations, Beams, Columns, and Cellular Solids",Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",3178,20.12,13.86,69.15
HarvardX,PH525.1x,10/15/2015,Data Analysis for Genomics: Statistics and R,Rafael Irizarry,"Government, Health, and Social Science",18540,64.81,34.06,84.7
MITx,8.421.2x,10/19/2015,Atomic and Optical Physics: Atomic structure and atoms in external field,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","Science, Technology, Engineering, and Mathematics",1178,9.8,13.46,71.11
MITx,6.00.2x,10/20/2015,Introduction to Computational Thinking and Data Science,"Eric Grimson, John Guttag, Ana Bell",Computer Science,12426,167.8,14.61,74.43
HarvardX,SW12.1x,10/27/2015,Political and Intellectual Foundations: From the Sage Kings to Confucius and the Legalists,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",6519,25.68,39.25,71.15
HarvardX,SW12.2x,10/27/2015,The Creation and End of Centralized Empire,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",849,6.84,35.71,75.56
HarvardX,SW12.3x,10/27/2015,Cosmopolitan Tang: Aristocratic Culture,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",729,3.44,45.61,73.78
HarvardX,SW12.4x,10/27/2015,Literati China: Examinations and Neo-Confucianism,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",427,3.11,33.62,73.96
HarvardX,SW12.5x,10/27/2015,From a Global Empire under the Mongols to a Global Economy under the Ming Dynasty,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",461,2.27,33.33,77.47
MITx,10.03x,10/27/2015,Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing,"J. Christopher Love, Anthony J. Sinskey, Dr.  Stacy L. Springs, Dr. Paul W. Barone, Betsy Skrip, Nicholas Mozdzierz, Eric Miller","Government, Health, and Social Science",2599,30.39,40.47,76.87
MITx,7.28.2x,10/27/2015,Molecular Biology: Transcription and Transposition,"Stephen P. Bell, Tania A. Baker, Mary Ellen Wiltrout, Nathaniel Schafheimer, Sera Thornton","Science, Technology, Engineering, and Mathematics",2860,47.23,40.9,76.33
HarvardX,SW12.10x,11/02/2015,"Greater China Today: The People's Republic, Taiwan, and Hong Kong","Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",948,4.94,33.55,73.56
HarvardX,SW12.6x,11/02/2015,The Manchus and the Qing Dynasty,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",1381,3.66,39.2,68.16
HarvardX,SW12.7x,11/02/2015,"Invasions, Rebellions and the Fall of Imperial China","Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",385,2.03,39.16,79.67
HarvardX,SW12.8x,11/02/2015,Creating Modern China: The Birth of a Nation,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",422,2.02,37.91,79.69
HarvardX,SW12.9x,11/02/2015,China and Communism,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",515,1.95,31.33,74.94
HarvardX,VJx,11/10/2015,"Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity","Andrew Gordon, John Dower, Shigeru Miyagawa","Humanities, History, Design, Religion, and Education",4842,18.37,41.13,65.96
MITx,3.032.3x,11/11/2015,Mechanical Behavior of Materials: Time Dependent Behavior and Failure,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",2075,14.81,14.75,75.33
HarvardX,PH525.2x,11/15/2015,Data Analysis for Genomics: Matrix Algebra and Linear Models,Rafael Irizarry,"Government, Health, and Social Science",3654,10.6,25.34,84.27
HarvardX,MUS24x,11/16/2015,First Nights: Handel’s Messiah and Baroque Oratorio,Tom Kelly,"Humanities, History, Design, Religion, and Education",3806,12.87,47.13,71.11
MITx,8.421.3x,11/16/2015,Atomic and Optical Physics: Atom-Light Interactions 1 -- Matrix elements and quantized field,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","Science, Technology, Engineering, and Mathematics",790,6.44,12.8,71.74
MITx,6.004.2x,11/17/2015,Computation Structures: Computer Architecture,"Chris Terman, Steve Ward, Silvina Hanono Wachman",Computer Science,8495,56.13,11.42,61.03
MITx,24.09x,11/17/2015,Philosophy: Minds and Machines,Alex Byrne,"Humanities, History, Design, Religion, and Education",10837,94.63,26.66,67.25
MITx,18.01.2x,12/01/2015,Calculus: Integration,David Jerison,"Science, Technology, Engineering, and Mathematics",7260,114.85,18.54,51.52
HarvardX,PH557x,12/03/2015,Lessons from Ebola: Preventing the Next Pandemic,Ashish Jha,"Government, Health, and Social Science",3072,14.21,54.51,70.64
MITx,8.421.4x,12/14/2015,Atomic and Optical Physics: Atom-Light Interactions 2: Line Broadening and Two-Photon Transitions,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","Science, Technology, Engineering, and Mathematics",658,3.88,14.99,71.48
HarvardX,PH525.3x,12/15/2015,Data Analysis for Genomics: Statistical Inference and Modeling for High-throughput Experiments,Rafael Irizarry,"Government, Health, and Social Science",2379,8.89,29.72,85.62
HarvardX,CS50x,01/01/2016,Introduction to Computer Science (2016),,Computer Science,168335,708.69,22.56,49.51
MITx,6.302.0x,01/04/2016,Introduction to Feedback Control Theory,"Jacob White, Joe Steinmeyer","Science, Technology, Engineering, and Mathematics",8377,21.3,7.46,64.22
HarvardX,HLS2x,01/07/2016,Contracts Law: From Trust to Promise to Contract,Charles Fried,"Government, Health, and Social Science",13798,97.71,39.84,75.91
MITx,8.MECHCx,01/07/2016,Advanced Introductory Classical Mechanics,"David E. Pritchard, Chris Chudzicki, Zhongzhou Chen","Science, Technology, Engineering, and Mathematics",5747,53.1,15.89,49.44
MITx,6.00.1x,01/13/2016,Introduction to Computer Science and Programming Using Python,"Eric Grimson, John Guttag, Ana Bell",Computer Science,63658,248.96,18.77,61.74
HarvardX,PH525.4x,01/15/2016,Data Analysis for Genomics: Introduction to High-Dimensional Data Analysis,Rafael Irizarry,"Government, Health, and Social Science",2321,8.21,27.43,87.18
MITx,8.421.5x,01/15/2016,Atomic and Optical Physics: Coherence,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang","Science, Technology, Engineering, and Mathematics",639,2.6,14.4,74.21
HarvardX,PH556x,01/20/2016,Practical Improvement Science in Health Care: A Roadmap for Getting Results,"Don Goldmann, Dave Williams, Don Berwick","Government, Health, and Social Science",6792,19.79,62.76,91.03
HarvardX,MUS24x,01/21/2016,First Nights: Beethoven's 9th Symphony,Tom Kelly,"Humanities, History, Design, Religion, and Education",4237,19.23,40.05,68.39
HarvardX,PH231x,01/25/2016,Readings in Global Health,David Hunter,"Government, Health, and Social Science",5309,29.9,55.19,83.58
MITx,LAUNCH.x,01/25/2016,Becoming an Entrepreneur,Laurie Stach,"Government, Health, and Social Science",18183,45.76,23.79,67.37
MITx,3.054.1x,01/27/2016,"Cellular Solids: Structures, Properties and Engineering Applications",Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",2456,16.98,20.47,72.65
MITx,11.132x,01/27/2016,Design and Development of Educational Technology,"Eric Klopfer, Scot Osterweil, Judy Perry","Humanities, History, Design, Religion, and Education",8405,28.24,40.5,83.34
MITx,21W.789x,02/01/2016,Mobile Application Experiences: From a Domain to an App Idea,"Frank Bentley, Ed Barrett",Computer Science,16407,27.77,19.84,68.29
MITx,6.041x,02/02/2016,Introduction to Probability: The Science of Uncertainty,"John Tsitsiklis, Patrick Jaillet, Aliaa Atwi, Dimitri Bertsekas, Qing He, Jimmy Li, Jagdish Ramakrishnan, Katie Szeto, Kuang Xu","Science, Technology, Engineering, and Mathematics",17354,269.33,16.48,72.77
MITx,16.110x,02/09/2016,Flight Vehicle Aerodynamics,"Mark Drela, Alejandra Uranga","Science, Technology, Engineering, and Mathematics",9788,28.77,10.39,54.22
MITx,CTL.SC1x,02/10/2016,Supply Chain and Logistics Fundamentals,Chris Caplice,"Government, Health, and Social Science",18686,674.4,22.8,84.06
HarvardX,PH525.5x,02/15/2016,Data Analysis for Genomics: Introduction to Bioconductor: Annotation and Analysis of Genomes and Genomic Assays,Rafael Irizarry,"Government, Health, and Social Science",1409,5.99,31.64,89.0
HarvardX,EMC2x,02/16/2016,The Einstein Revolution,Peter Galison,"Humanities, History, Design, Religion, and Education",5571,20.91,31.34,62.59
MITx,12.340x,02/16/2016,Global Warming Science,"Kerry Emanuel, Dan Cziczo, David McGee","Science, Technology, Engineering, and Mathematics",3842,25.06,34.63,67.98
MITx,8.05.1x,02/17/2016,Mastering Quantum Mechanics: Wave Mechanics,"Barton Zwiebach, Saif Rayyan","Science, Technology, Engineering, and Mathematics",8936,72.3,13.22,61.23
MITx,14.73x,02/22/2016,The Challenges of Global Poverty,"Esther Duflo, Abhijit Vinayak Banerjee","Government, Health, and Social Science",4250,45.06,45.86,78.42
HarvardX,SW25x,02/23/2016,Global Health Case Studies from a Biosocial Perspective,"Arthur Kleinman, Paul Farmer, Salmaan Keshavjee, Anne Becker","Government, Health, and Social Science",4050,28.87,59.1,76.79
MITx,21W.789.2x,02/29/2016,Mobile Application Experiences: Mobile App Design,"Frank Bentley, Ed Barrett",Computer Science,4522,5.8,24.7,72.03
HarvardX,HDS3221.1x,03/01/2016,"World Religions Through their Scriptures: Religious Literacy, Traditions and Scriptures",Diane Moore,"Humanities, History, Design, Religion, and Education",22153,79.36,63.04,78.46
MITx,6.00.2x,03/02/2016,Introduction to Computational Thinking and Data Science,"Eric Grimson, John Guttag, Ana Bell",Computer Science,14003,144.07,14.7,72.2
HarvardX,PH525.6x,03/15/2016,Data Analysis for Genomics: High-performance Computing for Reproducible Genomics,Rafael Irizarry,"Government, Health, and Social Science",1546,2.99,27.17,84.66
HarvardX,HLS2x,03/18/2016,Contracts Law: From Trust to Promise to Contract,Charles Fried,"Government, Health, and Social Science",13260,50.6,41.47,73.01
MITx,8.05.2x,03/23/2016,Mastering Quantum Mechanics: Quantum Dynamics,"Barton Zwiebach, Saif Rayyan","Science, Technology, Engineering, and Mathematics",1862,25.48,10.64,69.23
MITx,21W.789.3x,03/28/2016,Mobile Application Experiences: Building Mobile Apps,"Frank Bentley, Ed Barrett",Computer Science,4276,4.28,17.35,63.35
MITx,15.662x,03/28/2016,Shaping the Future of Work,"Thomas Kochan, Gokce Basbug, Meryam Bukari, Shahid Azad, Kanika Almadi","Government, Health, and Social Science",2583,10.78,35.83,76.56
MITx,18.01.3x,03/29/2016,Calculus: Coordinate Systems and Infinite Series,David Jerison,"Science, Technology, Engineering, and Mathematics",3749,44.72,16.6,58.93
MITx,7.QBWx,03/29/2016,Quantitative Biology Workshop,"Jeff Gore, Paul Blainey, Eric S. Lander, Ernest Fraenkel, Mary Ellen Wiltrout, Nathaniel Schafheimer","Science, Technology, Engineering, and Mathematics",3294,45.41,37.35,74.65
HarvardX,HDS3221.2x,04/05/2016,World Religions Through their Scriptures: Christianity,Karen King,"Humanities, History, Design, Religion, and Education",10188,37.58,48.96,73.72
HarvardX,AMPOx.6,04/08/2016,Poetry in America: Modernism,Elisa New,"Humanities, History, Design, Religion, and Education",3049,24.48,60.5,75.44
MITx,3.054.2x,04/08/2016,Cellular Solids: Applications in Medicine,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",510,2.53,26.64,73.97
MITx,15.071x,04/12/2016,The Analytics Edge,"Dimitris Bertsimas, Allison O'Hair, John Silberholz, Iain Dunning, Angie King, Velibor Misic, Nataly Youssef, Alex Weinstein, Jerry Kung","Government, Health, and Social Science",33044,710.96,19.63,85.9
HarvardX,PH525.7x,04/15/2016,Data Analysis for Genomics: Case Studies in Functional Genomics,Rafael Irizarry,"Government, Health, and Social Science",1716,5.68,37.62,84.84
HarvardX,GSE3x,04/19/2016,Introduction to Data Wise: A Collaborative Process to Improve Learning and Teaching,Kathryn Parker Boudett,"Humanities, History, Design, Religion, and Education",2493,10.31,64.69,92.08
MITx,11.405x,04/19/2016,Just Money: Banking as if Society Mattered,"J. Phillip Thompson, Katrin Kaeufer, Lily Steponaitis","Government, Health, and Social Science",4955,24.76,39.39,81.85
MITx,21W.789.4x,04/25/2016,Mobile Application Experiences: Understanding Use,"Frank Bentley, Ed Barrett",Computer Science,664,0.62,20.72,77.39
MITx,11.126x,04/27/2016,Introduction to Game Design,"Eric Klopfer, Philp Tan, Sara Verrilli","Humanities, History, Design, Religion, and Education",9933,27.02,23.28,58.91
MITx,8.05.3x,04/27/2016,Mastering Quantum Mechanics: Entanglement and Angular Momentum,"Barton Zwiebach, Saif Rayyan","Science, Technology, Engineering, and Mathematics",1236,19.33,8.9,71.51
HarvardX,MUS24.1x,04/28/2016,First Nights: L'Orfeo,Tom Kelly,"Humanities, History, Design, Religion, and Education",1199,4.94,46.37,78.46
MITx,JPAL101x,05/02/2016,Evaluating Social Programs,"Rachel Glennerster, Marc Shotland","Government, Health, and Social Science",4130,33.63,50.51,89.32
HarvardX,HDS3221.3x,05/03/2016,World Religions Through their Scriptures: Buddhism,Charles Hallisey,"Humanities, History, Design, Religion, and Education",8758,25.96,49.72,75.56
HarvardX,GSE2x,05/11/2016,Leaders of Learning,Richard Elmore,"Humanities, History, Design, Religion, and Education",9743,20.17,51.11,78.93
MITx,3.054.3x,05/11/2016,Cellular Solids: Applications in Nature,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",362,1.55,22.79,80.07
MITx,CTL.SC2x,05/18/2016,Supply Chain Design,"Chris Caplice, Yossi Sheffi, Jarrod Goentzel, James Blayney Rice Jr.","Government, Health, and Social Science",12455,355.29,22.81,85.81
MITx,21W.789.5x,05/23/2016,Mobile Application Experiences: Reporting Research Findings,"Frank Bentley, Ed Barrett",Computer Science,322,0.11,23.9,72.45
HarvardX,MCB64.1x,05/25/2016,Cell Biology: Mitochondria,Rob Lue,"Science, Technology, Engineering, and Mathematics",8297,39.56,46.14,63.2
MITx,3.15.1x,05/25/2016,Electronic Materials and Devices,Caroline Ross,"Science, Technology, Engineering, and Mathematics",7898,28.25,14.72,56.87
HarvardX,HDS3221.4x,06/01/2016,World Religions Through Their Scriptures: Islam,Ali Asani,"Humanities, History, Design, Religion, and Education",8695,39.83,49.8,74.37
MITx,7.28.1x1,06/07/2016,Molecular Biology: DNA Replication and Repair,"Stephen P. Bell, Tania A. Baker, Mary Ellen Wiltrout, Nathaniel Schafheimer, Sera Thornton","Science, Technology, Engineering, and Mathematics",4825,29.82,45.44,68.23
MITx,6.00.1x,06/07/2016,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag, Ana Bell",Computer Science,21212,485.85,19.37,58.76
HarvardX,ENGSCI137x,06/08/2016,Energy Within Environmental Constraints,David Keith,"Science, Technology, Engineering, and Mathematics",8017,94.63,31.59,74.91
MITx,10.03x,06/14/2016,Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing,"J. Christopher Love, Anthony J. Sinskey, Dr.  Stacy L. Springs, Dr. Paul W. Barone, Betsy Skrip, Nicholas Mozdzierz, Eric Miller","Government, Health, and Social Science",2604,17.5,44.34,72.52
MITx,2.01x,06/22/2016,Elements of Structures,"Simona Socrate, Alexie M. Kolpak","Science, Technology, Engineering, and Mathematics",4014,27.31,13.36,64.59
MITx,LAUNCHx,06/27/2016,Becoming an Entrepreneur,Laurie Stach,"Government, Health, and Social Science",22959,37.86,25.31,65.51
MITx,6.002.1x,06/28/2016,Circuits and Electronics: Basic Circuit Analysis,"Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",12218,56.54,14.11,51.66
MITx,6.002.2x,06/28/2016,"Circuits and Electronics: Amplification, Speed, and Delay","Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",1645,7.09,11.31,54.7
MITx,3.15.2x,06/29/2016,Optical Materials and Devices,Caroline Ross,"Science, Technology, Engineering, and Mathematics",2335,11.1,17.13,63.95
HarvardX,HDS3221.5x,07/05/2016,World Religions Through their Scriptures: Hinduism,Neelima Shukla-Bhatt,"Humanities, History, Design, Religion, and Education",4553,18.76,43.03,74.39
MITx,11.133x,07/14/2016,Implementation and Evaluation of Educational Technology,"Eric Klopfer, Elizabeth Huttner-Loan","Humanities, History, Design, Religion, and Education",2402,8.59,41.8,86.84
HarvardX,MUS24.4x,07/21/2016,First Nights: Symphonie Fantastique,Tom Kelly,"Humanities, History, Design, Religion, and Education",615,1.71,43.18,74.66
HarvardX,GSE4x,07/25/2016,Introduction to Family Engagement in Education,Karen Mapp,"Humanities, History, Design, Religion, and Education",2871,4.26,74.76,82.31
MITx,6.302.0x,08/01/2016,Introduction to Control System Design,"Jacob White, Joe Steinmeyer","Science, Technology, Engineering, and Mathematics",3937,15.62,8.83,61.32
MITx,6.302.1x,08/01/2016,Introduction to State Space Control,"Jacob White, Joe Steinmeyer","Science, Technology, Engineering, and Mathematics",1431,3.22,6.56,72.31
MITx,3.15.3x,08/03/2016,Magnetic Materials and Devices,Caroline Ross,"Science, Technology, Engineering, and Mathematics",1294,6.87,14.05,65.78
